filename,image_path,mask_path
ISIC_0014794,data/processed/train_unlabeled/images/ISIC_0014794.png,
ISIC_0013181,data/processed/train_unlabeled/images/ISIC_0013181.png,
ISIC_0000259,data/processed/train_unlabeled/images/ISIC_0000259.png,
ISIC_0012719,data/processed/train_unlabeled/images/ISIC_0012719.png,
ISIC_0012208,data/processed/train_unlabeled/images/ISIC_0012208.png,
ISIC_0014693,data/processed/train_unlabeled/images/ISIC_0014693.png,
ISIC_0000217,data/processed/train_unlabeled/images/ISIC_0000217.png,
ISIC_0000075,data/processed/train_unlabeled/images/ISIC_0000075.png,
ISIC_0000346,data/processed/train_unlabeled/images/ISIC_0000346.png,
ISIC_0010239,data/processed/train_unlabeled/images/ISIC_0010239.png,
ISIC_0000079,data/processed/train_unlabeled/images/ISIC_0000079.png,
ISIC_0013644,data/processed/train_unlabeled/images/ISIC_0013644.png,
ISIC_0010322,data/processed/train_unlabeled/images/ISIC_0010322.png,
ISIC_0009895,data/processed/train_unlabeled/images/ISIC_0009895.png,
ISIC_0015007,data/processed/train_unlabeled/images/ISIC_0015007.png,
ISIC_0015971,data/processed/train_unlabeled/images/ISIC_0015971.png,
ISIC_0000337,data/processed/train_unlabeled/images/ISIC_0000337.png,
ISIC_0000485,data/processed/train_unlabeled/images/ISIC_0000485.png,
ISIC_0010846,data/processed/train_unlabeled/images/ISIC_0010846.png,
ISIC_0015255,data/processed/train_unlabeled/images/ISIC_0015255.png,
ISIC_0011118,data/processed/train_unlabeled/images/ISIC_0011118.png,
ISIC_0012360,data/processed/train_unlabeled/images/ISIC_0012360.png,
ISIC_0012406,data/processed/train_unlabeled/images/ISIC_0012406.png,
ISIC_0013578,data/processed/train_unlabeled/images/ISIC_0013578.png,
ISIC_0000290,data/processed/train_unlabeled/images/ISIC_0000290.png,
ISIC_0013424,data/processed/train_unlabeled/images/ISIC_0013424.png,
ISIC_0000530,data/processed/train_unlabeled/images/ISIC_0000530.png,
ISIC_0012271,data/processed/train_unlabeled/images/ISIC_0012271.png,
ISIC_0012235,data/processed/train_unlabeled/images/ISIC_0012235.png,
ISIC_0014291,data/processed/train_unlabeled/images/ISIC_0014291.png,
ISIC_0012987,data/processed/train_unlabeled/images/ISIC_0012987.png,
ISIC_0000215,data/processed/train_unlabeled/images/ISIC_0000215.png,
ISIC_0015939,data/processed/train_unlabeled/images/ISIC_0015939.png,
ISIC_0012903,data/processed/train_unlabeled/images/ISIC_0012903.png,
ISIC_0012814,data/processed/train_unlabeled/images/ISIC_0012814.png,
ISIC_0013652,data/processed/train_unlabeled/images/ISIC_0013652.png,
ISIC_0014838,data/processed/train_unlabeled/images/ISIC_0014838.png,
ISIC_0010006,data/processed/train_unlabeled/images/ISIC_0010006.png,
ISIC_0015311,data/processed/train_unlabeled/images/ISIC_0015311.png,
ISIC_0000518,data/processed/train_unlabeled/images/ISIC_0000518.png,
ISIC_0011362,data/processed/train_unlabeled/images/ISIC_0011362.png,
ISIC_0000327,data/processed/train_unlabeled/images/ISIC_0000327.png,
ISIC_0000479,data/processed/train_unlabeled/images/ISIC_0000479.png,
ISIC_0012253,data/processed/train_unlabeled/images/ISIC_0012253.png,
